field1,CustomerID,Class,LengthOfTime,CurrentBalance,Location,Income,LineOfCredit,HomeLoan,Superanuation,EducationSaver,Investment,WorkingFulltime,AvgTrans
368,"00029","Platinum",7.870000,3331.480000,"Suburban",177000,1,1,1,0,0,1,60
377,"00030","Platinum",5.140000,2196.690000,"Rural",141000,0,0,0,0,0,1,46
406,"00031","Platinum",4.450000,1002.330000,"Urban",196000,1,1,1,0,0,1,29
1326,"00047","Gold",3.200000,2021.680000,"Rural",149000,1,1,0,0,0,0,42
2876,"00034","Silver",5.030000,2333.220000,"Suburban",114000,1,1,1,1,0,1,72
1367,"00048","Gold",3.000000,1231.730000,"Urban",124000,0,0,0,0,0,1,21
1482,"00003","Gold",3.660000,2399.450000,"Rural",116000,1,1,1,0,0,1,37
2411,"00016","Silver",5.320000,2341.730000,"Suburban",104000,1,1,1,0,0,1,69
2704,"00027","Silver",2.290000,680.800000,"Urban",106000,1,1,1,1,0,1,32
395,"00030","Platinum",6.670000,2012.430000,"Rural",187000,0,0,0,0,0,1,45
1575,"00007","Gold",3.550000,1120.730000,"Urban",129000,1,0,0,0,0,1,22
290,"00027","Platinum",5.390000,2106.040000,"Rural",156000,0,0,0,0,0,1,47
583,"00037","Platinum",4.100000,1105.190000,"Urban",167000,1,0,0,0,0,1,23
2794,"00031","Silver",4.600000,2157.470000,"Suburban",107000,1,1,1,1,0,1,71
1940,"00005","Gold",5.200000,3198.650000,"Suburban",132000,1,1,1,1,0,0,56
2007,"00001","Silver",3.120000,2100.860000,"Suburban",88000,1,1,1,1,0,1,71
2688,"00027","Silver",2.520000,577.200000,"Urban",121000,0,0,0,0,0,1,35
772,"00043","Platinum",3.610000,1292.410000,"Urban",204000,1,0,0,0,0,1,27
286,"00027","Platinum",6.040000,2185.220000,"Rural",194000,1,0,0,0,0,1,48
1093,"00038","Gold",3.760000,2053.130000,"Rural",136000,1,0,0,0,0,0,40
1257,"00044","Gold",3.780000,2250.710000,"Rural",126000,1,1,1,0,0,0,41
1704,"00012","Gold",4.610000,2255.890000,"Rural",107000,1,0,0,0,0,1,40
1558,"00006","Gold",3.610000,2195.580000,"Rural",158000,0,0,0,0,0,1,41
2786,"00030","Silver",2.500000,669.700000,"Urban",85000,1,0,0,0,0,1,34
2850,"00033","Silver",1.380000,634.550000,"Urban",98000,1,1,0,0,0,1,35
1451,"00001","Gold",3.170000,1227.290000,"Urban",132000,1,1,0,0,0,1,24
979,"00050","Platinum",8.110000,3347.390000,"Suburban",176000,1,1,1,0,0,1,61
2747,"00029","Silver",1.820000,1720.870000,"Rural",76000,1,1,1,1,0,1,52
2078,"00003","Silver",2.260000,882.080000,"Urban",69000,0,0,0,0,0,1,35
2082,"00004","Silver",5.200000,2168.200000,"Suburban",113000,1,1,1,1,0,1,73
1403,"00050","Gold",3.610000,2073.850000,"Rural",174000,1,1,1,0,0,1,39
2966,"00022","Silver",4.740000,2097.160000,"Suburban",106000,1,1,1,1,1,0,70
