GENDER,AGE,AGE_GROUP,INVESTMENT,INCOME,ACTIVITY, YRLY_AMT,AVG_DAILY_TX,YRLY_TX,AVG_TX_AMT,NEGTWEETS,STATE,EDUCATION,label
F,84,Above 50,114368,3852862,5,700259.00,0.92,335,2090.32,3,TX,Bachelors degree,0
F,44,41-50,90298,3849843,1,726977.00,0.95,347,2095.04,2,CA,Bachelors degree,0
F,23,20-30,94881,3217364,1,579084.00,0.92,336,1723.46,5,CA,Bachelors degree,1
F,24,20-30,112099,2438218,4,470964.00,0.99,363,1297.42,2,WA,Bachelors degree,1
F,67,Above 50,84638,2428245,3,446615.00,0.92,335,1333.18,3,CT,Doctorate,0
M,29,20-30,80194,2232158,5,405570.00,0.95,345,1175.57,9,NY,Doctorate,1
F,28,20-30,80673,2222973,1,407548.00,0.92,336,1212.94,4,WA,Bachelors degree,1
M,21,20-30,104192,2010826,2,377970.00,0.98,359,1052.84,2,CT,Doctorate,0
F,25,20-30,94019,1996294,2,360328.00,0.92,336,1072.41,3,WA,Bachelors degree,0
F,55,Above 50,105882,1896126,4,365085.00,0.99,362,1008.52,1,CT,Doctorate,0
M,49,41-50,71032,1883207,1,356227.00,0.93,340,1047.72,3,CA,Doctorate,0
F,42,41-50,87951,867110,4,172456.00,0.92,336,513.26,3,CT,Doctorate,0
F,78,Above 50,90798,743981,0,148179.00,0.99,361,410.47,4,CA,Doctorate,0
F,46,41-50,87798,731399,2,143762.00,0.96,350,410.75,2,WA,Bachelors degree,0
M,63,Above 50,118332,453591,2,97229.63,0.95,348,279.40,2,CA,Doctorate,0
M,22,20-30,91842,418095,2,87458.50,0.92,335,261.07,4,NY,Doctorate,0
F,31,31-40,100717,406167,3,89943.13,0.99,363,247.78,5,TX,Doctorate,1
M,70,Above 50,86927,357753,1,73524.88,0.95,348,211.28,9,WA,Bachelors degree,1
F,58,Above 50,92417,342269,2,72886.63,0.96,349,208.84,4,TX,Doctorate,0
M,41,,108972,316530,4,70662.63,0.99,362,195.20,7,TX,Masters degree,0
